alert_id,category,timestamp
1,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/5/30 17:53
2,审计到文件上传行为: 通用文件上传行为请求-Hunting 未知,2023/5/31 17:53
3,感染minepool家族挖矿,2023/6/1 17:53
4,感染silverfox家族木马远控,2023/6/2 17:53
5,感染drivelife家族挖矿,2023/6/3 17:53
6,感染lemonduck家族挖矿,2023/6/4 17:53
7,感染普通病毒,2023/6/5 17:53
8,感染普通病毒,2023/6/6 17:53
9,感染drivelife家族挖矿,2023/6/7 17:53
10,感染coinminer家族挖矿,2023/6/8 17:53
11,感染silverfox家族木马远控,2023/6/9 17:53
12,感染phishing家族钓鱼软件,2023/6/10 17:53
13,感染silverfox家族木马远控,2023/6/11 17:53
14,感染coinminer家族挖矿,2023/6/12 17:53
15,感染silverfox家族木马远控,2023/6/13 17:53
16,感染coinminer家族挖矿,2023/6/14 17:53
17,感染drivelife家族挖矿,2023/6/15 17:53
18,感染cobaltstrike家族黑客工具,2023/6/16 17:53
19,感染drivelife家族挖矿,2023/6/17 17:53
20,监控到到文件目录扫描:  ,2023/6/18 17:53
21,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/6/19 17:53
22,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/6/20 17:53
23,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/6/21 17:53
24,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/22 17:53
25,监控到到文件目录扫描:  ,2023/6/23 17:53
26,监控到到命令执行攻击:  ,2023/6/24 17:53
27,监控到到网络攻击：HTTP_未授权访问_Prometheus-Exporter-API ,2023/6/25 17:53
28,监控到到网络攻击：HTTP_未授权访问_Prometheus-Exporter-API ,2023/6/26 17:53
29,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/27 17:53
30,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/28 17:53
31,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/29 17:53
32,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/30 17:53
33,监控到到操作系统漏洞利用攻击: 服务器响应存在漏洞的OpenSSH版本（CVE-2024-6409） 未知,2023/7/1 17:53
34,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/7/2 17:53
35,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/3 17:53
36,监控到到其他网络攻击: 命令代码执行 - Microsoft Server Message Block 输入验证错误漏洞攻击 未知,2023/7/4 17:53
37,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/5 17:53
38,监控到到操作系统漏洞利用攻击: 服务器响应存在漏洞的OpenSSH版本（CVE-2024-6409） 未知,2023/7/6 17:53
39,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/7 17:53
40,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/8 17:53
41,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/9 17:53
42,监控到到文件目录扫描:  ,2023/7/10 17:53
43,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/7/11 17:53
44,审计到文件上传行为: 通用文件上传行为请求-Hunting 未知,2023/7/12 17:53
45,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/7/13 17:53
46,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/7/14 17:53
47,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/7/15 17:53
48,监控到到文件目录扫描:  ,2023/7/16 17:53
49,监控到到文件目录扫描:  ,2023/7/17 17:53
50,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/18 17:53
51,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/7/19 17:53
52,监控到到文件目录扫描:  ,2023/7/20 17:53
53,监控到到网络攻击：HTTP_其他可疑行为_PUT方法写入文件 ,2023/7/21 17:53
54,监控到到文件目录扫描:  ,2023/7/22 17:53
55,监控到到网络滥用行为: 远控应用软件 - 检测到Spotify P2P客户端流量 未知,2023/7/23 17:53
56,监控到到Webshell上传: HTTP_文件上传_php_webshell ,2023/7/24 17:53
57,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/7/25 17:53
58,监控到到资产信息探测: PING CyberKit 2.2 Windows 未知,2023/7/26 17:53
59,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/7/27 17:53
60,监控到到命令执行攻击:  ,2023/7/28 17:53
61,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/7/29 17:53
62,监控到到文件目录扫描:  ,2023/7/30 17:53
63,监控到到命令执行攻击:  ,2023/7/31 17:53
64,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/8/1 17:53
65,监控到到文件目录扫描:  ,2023/8/2 17:53
66,审计到文件下载行为: PE可执行文件或DLL Windows文件下载HTTP 未知,2023/8/3 17:53
67,审计到文件下载行为: PE可执行文件或DLL Windows文件下载HTTP 未知,2023/8/4 17:53
68,监控到到文件目录扫描:  ,2023/8/5 17:53
69,监控到到文件目录扫描:  ,2023/8/6 17:53
70,监控到到网络攻击：HTTP_未授权访问_Prometheus-Exporter-API ,2023/8/7 17:53
71,监控到到其他弱口令: 弱口令 - WEB弱口令登录2 未知,2023/8/8 17:53
72,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/8/9 17:53
73,监控到到文件目录扫描:  ,2023/8/10 17:53
74,监控到到其他弱口令: http_login ,2023/8/11 17:53
75,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/8/12 17:53
76,监控到到文件目录扫描:  ,2023/8/13 17:53
77,监控到到文件目录扫描:  ,2023/8/14 17:53
78,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/8/15 17:53
79,监控到到Webshell上传: HTTP_文件上传_php_webshell ,2023/8/16 17:53
80,监控到到文件目录扫描:  ,2023/8/17 17:53
81,监控到到文件目录扫描:  ,2023/8/18 17:53
82,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/8/19 17:53
83,监控到到文件目录扫描:  ,2023/8/20 17:53
84,监控到到文件目录扫描:  ,2023/8/21 17:53
85,监控到到文件目录扫描:  ,2023/8/22 17:53
86,监控到到网络攻击：HTTP_未授权访问_Prometheus-Exporter-API ,2023/8/23 17:53
87,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/8/24 17:53
88,监控到到文件目录扫描:  ,2023/8/25 17:53
89,监控到到文件目录扫描:  ,2023/8/26 17:53
90,监控到到应用软件漏洞利用攻击: HTTP_算法_SQL注入攻击 ,2023/8/27 17:53
91,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/8/28 17:53
92,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/8/29 17:53
93,监控到到资产信息探测: PING CyberKit 2.2 Windows 未知,2023/8/30 17:53
94,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/8/31 17:53
95,监控到到文件目录扫描:  ,2023/9/1 17:53
96,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/9/2 17:53
97,监控到到文件目录扫描:  ,2023/9/3 17:53
